time,v(vin),v(vout),i(input),i(r1)
0.00002873237499999997,1,0.24785254177631735,-0.0007521474582236826,0.0007521474582236826
0.00002923237499999997,1,0.251603900670201,-0.0007483960993297991,0.000748396099329799
0.000029732374999999968,1,0.2553365495446638,-0.0007446634504553362,0.0007446634504553362
0.000030232374999999966,1,0.25905058171651085,-0.0007409494182834891,0.0007409494182834892
0.00003073237499999997,1,0.2627460900371268,-0.0007372539099628733,0.0007372539099628732
0.00003123237499999997,1,0.266423166894797,-0.000733576833105203,0.0007335768331052031
0.000031732374999999966,1,0.2700819042170175,-0.0007299180957829825,0.0007299180957829825
0.000032232374999999964,1,0.273722393472793,-0.000726277606527207,0.0007262776065272069
0.00003273237499999996,1,0.2773447256749237,-0.0007226552743250763,0.0007226552743250762
0.00003323237499999996,1,0.2809489913822807,-0.0007190510086177193,0.0007190510086177193
0.00003373237499999996,1,0.2845352807020698,-0.0007154647192979302,0.0007154647192979302
0.00003423237499999996,1,0.2881036832920844,-0.0007118963167079156,0.0007118963167079155
0.00003473237499999996,1,0.2916542883629468,-0.0007083457116370532,0.0007083457116370532
0.000035232374999999956,1,0.29518718468033855,-0.0007048128153196615,0.0007048128153196615
0.000035732374999999954,1,0.2987024605672196,-0.0007012975394327804,0.0007012975394327804
0.00003623237499999995,1,0.3022002039060364,-0.0006977997960939636,0.0006977997960939636
0.00003673237499999995,1,0.305680502140919,-0.000694319497859081,0.000694319497859081
0.00003723237499999995,1,0.30914344227986706,-0.000690856557720133,0.0006908565577201329
0.00003773237499999995,1,0.312589110896925,-0.0006874108891030751,0.000687410889103075
0.00003823237499999995,1,0.3160175941343467,-0.0006839824058656532,0.0006839824058656533
0.000038732374999999946,1,0.31942897770474893,-0.0006805710222952511,0.000680571022295251
0.000039232374999999945,1,0.32282334689325387,-0.0006771766531067461,0.0006771766531067461
0.00003973237499999994,1,0.32620078655962165,-0.0006737992134403783,0.0006737992134403783
0.00004023237499999994,1,0.32956138114037165,-0.0006704386188596283,0.0006704386188596283
0.00004073237499999994,1,0.3329052146508935,-0.0006670947853491065,0.0006670947853491065
0.00004123237499999994,1,0.3362323706875474,-0.0006637676293124526,0.0006637676293124526
0.00004173237499999994,1,0.33954293242975414,-0.0006604570675702459,0.0006604570675702459
0.000042232374999999936,1,0.34283698264207463,-0.0006571630173579253,0.0006571630173579254
0.000042732374999999935,1,0.3461146036762788,-0.0006538853963237212,0.0006538853963237212
0.000043232374999999934,1,0.34937587747340454,-0.0006506241225265955,0.0006506241225265954
0.00004373237499999993,1,0.3526208855658065,-0.0006473791144341935,0.0006473791144341935
0.00004423237499999993,1,0.35584970907919394,-0.0006441502909208061,0.0006441502909208061
0.00004473237499999993,1,0.3590624287346592,-0.0006409375712653409,0.0006409375712653408
0.00004523237499999993,1,0.3622591248506957,-0.0006377408751493043,0.0006377408751493043
0.000045732374999999927,1,0.3654398773452059,-0.0006345601226547941,0.0006345601226547941
0.000046232374999999925,1,0.36860476573749906,-0.000631395234262501,0.0006313952342625009
