frequency,v(vin)_re,v(vin)_im,v(vout)_re,v(vout)_im,i(input)_re,i(input)_im,i(r1)_re,i(r1)_im
5011.872336272701,1,0,0.09160419896210832,-0.28846640999364,-0.0009083958010378917,-0.00028846640999364,0.0009083958010378916,0.00028846640999364
5623.4132519034665,1,0,0.07416102482736031,-0.26203275982959834,-0.0009258389751726397,-0.00026203275982959837,0.0009258389751726397,0.0002620327598295983
6309.573444801905,1,0,0.05982062976643399,-0.23715421569261894,-0.000940179370233566,-0.00023715421569261893,0.000940179370233566,0.00023715421569261893
7079.457843841347,1,0,0.04810912170923913,-0.21399680866219653,-0.0009518908782907609,-0.00021399680866219655,0.0009518908782907609,0.00021399680866219652
7943.282347242779,1,0,0.038596332387887226,-0.19263087892155545,-0.0009614036676121128,-0.00019263087892155544,0.0009614036676121128,0.00019263087892155544
8912.509381337413,1,0,0.030903473780679272,-0.17305620211066156,-0.0009690965262193207,-0.00017305620211066156,0.0009690965262193207,0.00017305620211066156
9999.999999999953,1,0,0.024704523031857873,-0.15522309613464833,-0.0009752954769681421,-0.00015522309613464833,0.0009752954769681421,0.00015522309613464833
11220.18454301958,1,0,0.01972371682572119,-0.1390492424297952,-0.000980276283174279,-0.00013904924242979518,0.000980276283174279,0.00013904924242979518
12589.254117941611,1,0,0.015730919399393046,-0.12443254226384207,-0.000984269080600607,-0.00012443254226384207,0.000984269080600607,0.00012443254226384207
14125.375446227474,1,0,0.012536072721536708,-0.11126059321366685,-0.0009874639272784633,-0.00011126059321366686,0.0009874639272784633,0.00011126059321366686
15848.931924611055,1,0,0.00998349712771304,-0.09941743766972666,-0.000990016502872287,-0.00009941743766972666,0.000990016502872287,0.00009941743766972666
17782.794100389136,1,0,0.007946490365064587,-0.0887881954763274,-0.0009920535096349355,-0.00008878819547632739,0.0009920535096349355,0.00008878819547632739
19952.62314968869,1,0,0.00632245488631576,-0.07926210601874177,-0.0009936775451136843,-0.00007926210601874177,0.0009936775451136843,0.00007926210601874177
22387.211385683277,1,0,0.005028643427752209,-0.07073440586467616,-0.0009949713565722477,-0.00007073440586467617,0.0009949713565722477,0.00007073440586467617
25118.864315095663,1,0,0.003998528935458725,-0.06310737438533649,-0.0009960014710645414,-0.0000631073743853365,0.0009960014710645414,0.0000631073743853365
28183.829312644382,1,0,0.0031787585926075098,-0.05629079930519226,-0.0009968212414073925,-0.00005629079930519226,0.0009968212414073925,0.00005629079930519226
31622.776601683614,1,0,0.00252662956360821,-0.050202048829271005,-0.0009974733704363919,-0.00005020204882927101,0.0009974733704363919,0.00005020204882927101
35481.33892335734,1,0,0.002008016679706798,-0.044765885992805024,-0.0009979919833202932,-0.000044765885992805024,0.0009979919833202932,0.000044765885992805024
39810.71705534949,1,0,0.0015956833494811858,-0.039914122113975825,-0.0009984043166505188,-0.00003991412211397582,0.0009984043166505188,0.00003991412211397582
44668.35921509604,1,0,0.0012679124505700734,-0.035585177371874416,-0.00099873208754943,-0.000035585177371874416,0.00099873208754943,0.000035585177371874416
50118.723362726916,1,0,0.0010074013625195578,-0.03172359539860436,-0.0009989925986374805,-0.000031723595398604356,0.0009989925986374805,0.000031723595398604356
56234.13251903455,1,0,0.0008003731784826016,-0.028279543512188584,-0.0009991996268215173,-0.000028279543512188585,0.0009991996268215173,0.000028279543512188585
63095.73444801892,1,0,0.0006358636861541784,-0.025208319331657333,-0.0009993641363138458,-0.000025208319331657335,0.0009993641363138458,0.000025208319331657332
70794.57843841333,1,0,0.0005051505425353932,-0.022469876845785546,-0.0009994948494574647,-0.000022469876845785546,0.0009994948494574645,0.000022469876845785546
79432.82347242763,1,0,0.0004012970315590357,-0.020028379671144084,-0.000999598702968441,-0.000020028379671144085,0.000999598702968441,0.000020028379671144085
89125.09381337395,1,0,0.000318787873985036,-0.017851785576698934,-0.000999681212126015,-0.000017851785576698933,0.000999681212126015,0.000017851785576698933
99999.99999999932,1,0,0.0002532388129651633,-0.01591146388830303,-0.0009997467611870348,-0.00001591146388830303,0.0009997467611870348,0.00001591146388830303
112201.84543019556,1,0,0.00020116521677026664,-0.014181845765831343,-0.0009997988347832298,-0.000014181845765831343,0.0009997988347832298,0.000014181845765831343
125892.54117941584,1,0,0.00015979782300102035,-0.012640106315090252,-0.000999840202176999,-0.000012640106315090252,0.000999840202176999,0.000012640106315090252
141253.75446227443,1,0,0.00012693609452621646,-0.01126587687462112,-0.0009998730639054739,-0.00001126587687462112,0.0009998730639054739,0.00001126587687462112
158489.31924611022,1,0,0.0001008315563144505,-0.010040985475126519,-0.0009998991684436855,-0.000010040985475126518,0.0009998991684436855,0.000010040985475126518
177827.941003891,1,0,0.00008009501315849633,-0.00894922331531421,-0.0009999199049868415,-0.00000894922331531421,0.0009999199049868415,0.00000894922331531421
199526.2314968865,1,0,0.00006362277848842568,-0.007976135068470386,-0.0009999363772215115,-0.000007976135068470387,0.0009999363772215117,0.000007976135068470387
223872.1138568323,1,0,0.00005053803063577432,-0.007108830884416492,-0.0009999494619693642,-0.000007108830884416492,0.0009999494619693642,0.000007108830884416492
251188.6431509561,1,0,0.000040144201930065605,-0.006335818050821614,-0.00099995985579807,-0.000006335818050821615,0.00099995985579807,0.000006335818050821614
281838.2931264432,1,0,0.00003188793633719129,-0.005646850405022914,-0.0009999681120636628,-0.000005646850405022914,0.0009999681120636628,0.000005646850405022914
316227.76601683546,1,0,0.000025329654302946033,-0.005032793728294348,-0.0009999746703456972,-0.000005032793728294349,0.0009999746703456972,0.000005032793728294349
354813.38923357264,1,0,0.000020120164406537575,-0.00448550549944171,-0.0009999798798355935,-0.00000448550549944171,0.0009999798798355935,0.00000448550549944171
398107.17055349407,1,0,0.00001598208081165073,-0.003997727527576593,-0.0009999840179191885,-0.000003997727527576593,0.0009999840179191883,0.000003997727527576593
446683.59215095954,1,0,0.000012695059767797698,-0.0035629901211279257,-0.0009999873049402323,-0.0000035629901211279258,0.0009999873049402323,0.0000035629901211279258
501187.23362726823,1,0,0.000010084070744737527,-0.003175526579365183,-0.0009999899159292554,-0.0000031755265793651833,0.0009999899159292551,0.0000031755265793651833
